THE LIST CONTAINS THE EXPERIMENTAL TRANSITIONS ASSIGNED IN THE GROUND STATE OF 14ND3 FROM THE LITERATURE ( MW TRANSITIONS) AND
FROM THE NEW ASSIGNMENTS OF THE FIR SPECTRA RECENTLY RECORDED ( SEE https://doi.org/10.1016/j.jms.2023.111797 ).
IN THE HEADINGS OF COLUMNS 1-4 THE LETTER U AND L MEAN UPPER AND LOWER, RESPECTIVELY.
IN COLUMNS 5 AND 6 ARE INDICATED THE SYMMETRY WITH RESPECT THE INVERSION
MOTION. 1 CORRESPONDS TO ANTISYMMETRIC WHILE 0 TO SYMMETRIC WITH RESPECT THE INVERSION.
THE CALCULATED VALUE OF TRANSITIONS ARE OBTAINED FROM THE SPECTROSCOPIC FITTING PROCEDURE.
THE K=-3 LEVEL IS THAT AT LOWER ENERGY IN THE K=+,- 3 DOUBLET.

14ND3 MW transitions assigned in the ground state 

     JU  KU     JL  KL    U L     OBS/CM-1    CALC/CM-1    OBS-CALC      WEIGHT         OBS/MHZ        CALC/MHZ    OBS-CALC      UNC/CM-1
      5   3      4   3    1 0    51.410770    51.410888   -0.000118   0.160E+08     1541256.111     1541259.634      -3.524     0.00025000
      5   4      4   4    0 1    51.331180    51.331115    0.000065   0.160E+08     1538870.062     1538868.122       1.940     0.00025000
      5   4      4   4    1 0    51.436760    51.436994   -0.000234   0.160E+08     1542035.271     1542042.272      -7.001     0.00025000
      6   0      5   0    1 0    61.590016    61.590109   -0.000093   0.100E+09     1846422.228     1846425.029      -2.801     0.00010000
      6   0      5   0    0 1    61.495846    61.495672    0.000174   0.100E+09     1843599.083     1843593.878       5.205     0.00010000
      6   1      5   1    0 1    61.499368    61.499558   -0.000190   0.100E+09     1843704.670     1843710.354      -5.684     0.00010000
      6   1      5   1    1 0    61.594632    61.594459    0.000173   0.100E+09     1846560.613     1846555.423       5.190     0.00010000
      6   2      5   2    0 1    61.511304    61.511221    0.000083   0.100E+09     1844062.502     1844060.018       2.485     0.00010000
      6   2      5   2    1 0    61.607502    61.607529   -0.000027   0.100E+09     1846946.446     1846947.260      -0.814     0.00010000
      6   1      5   2    0 0    67.534699    67.535125   -0.000426   0.100E+09     2024639.341     2024652.116     -12.775    0.00010000
      6   1      5   2    1 1    67.532508    67.532557   -0.000049   0.100E+09     2024573.657     2024575.138      -1.481     0.00010000
      6  -3      5  -3    1 0    61.629587    61.629358    0.000229   0.100E+09     1847608.537     1847601.676       6.862     0.00010000
      6   3      5   3    1 0    61.629587    61.629415    0.000173   0.100E+07     1847608.540     1847603.369       5.172     0.00100000
      6   3      5   3    0 1    61.530466    61.530714   -0.000248   0.100E+09     1844636.964     1844644.407      -7.443     0.00010000
      6  -3      5  -3    0 1    61.530466    61.530658   -0.000192   0.100E+07     1844636.967     1844642.732      -5.765     0.00100000
      6   4      5   4    0 1    61.557567    61.557992   -0.000425   0.100E+09     1845449.432     1845462.159     -12.727    0.00010000
      6   4      5   4    1 0    61.660049    61.660143   -0.000094   0.100E+09     1848521.765     1848524.569      -2.804     0.00010000
      6   5      5   5    0 1    61.593254    61.593189    0.000065   0.100E+09     1846519.301     1846517.354       1.947     0.00010000
      6   5      5   5    1 0    61.699853    61.699958   -0.000105   0.100E+09     1849715.059     1849718.221      -3.162     0.00010000
      7   0      6   0    1 0    71.774574    71.774705   -0.000131   0.100E+09     2151747.596     2151751.510      -3.914     0.00010000
      7   0      6   0    0 1    71.684302    71.684162    0.000140   0.100E+09     2149041.310     2149037.099       4.210     0.00010000
      7   1      6   1    0 1    71.688557    71.688712   -0.000155   0.100E+09     2149168.871     2149173.525      -4.654     0.00010000
      7   1      6   1    1 0    71.779665    71.779700   -0.000035   0.100E+09     2151900.220     2151901.255      -1.035     0.00010000
      7   1      6   2    1 1    77.707202    77.707295   -0.000093   0.100E+09     2329603.309     2329606.112      -2.802     0.00010000
      7   2      6   2    0 1    71.702205    71.702375   -0.000170   0.100E+09     2149578.028     2149583.115      -5.087     0.00010000
      7   2      6   2    1 0    71.794709    71.794708    0.000001   0.100E+09     2152351.228     2152351.205       0.023     0.00010000
      7  -3      6  -3    1 0    71.819734    71.819740   -0.000005   0.100E+07     2153101.462     2153101.626      -0.164     0.00100000
      7   3      6   3    1 0    71.819734    71.819866   -0.000132   0.100E+09     2153101.459     2153105.414      -3.955     0.00010000
      7  -3      6  -3    0 1    71.725071    71.725118   -0.000047   0.100E+09     2150263.534     2150264.933      -1.399     0.00010000
      7   3      6   3    0 1    71.725071    71.725243   -0.000171   0.100E+07     2150263.537     2150268.676      -5.140     0.00100000
      7   4      6   4    1 0    71.855122    71.855105    0.000017   0.100E+09     2154162.364     2154161.853       0.512     0.00010000
      7   4      6   4    0 1    71.756893    71.757180   -0.000287   0.100E+09     2151217.533     2151226.137      -8.604     0.00010000
      7   2      6   5    1 1   113.708226   113.708117    0.000109   0.100E+09     3408886.857     3408883.587       3.270     0.00010000
      7   5      6   5    1 0    71.900880    71.900789    0.000091   0.100E+09     2155534.155     2155531.438       2.717     0.00010000
      7   5      6   5    0 1    71.798355    71.798445   -0.000090   0.100E+09     2152460.533     2152463.239      -2.707     0.00010000
      7   6      6   6    1 0    71.956844    71.957088   -0.000244   0.100E+09     2157211.913     2157219.215      -7.301     0.00010000
      7   6      6   6    0 1    71.848980    71.849065   -0.000085   0.100E+09     2153978.232     2153980.786      -2.554     0.00010000
      8   0      7   0    0 1    81.840612    81.840732   -0.000120   0.100E+09     2453519.824     2453523.415      -3.592     0.00010000
      8   0      7   0    1 0    81.927245    81.926992    0.000253   0.100E+09     2456117.016     2456109.431       7.585     0.00010000
      8   1      7   1    0 1    81.846057    81.845935    0.000122   0.100E+09     2453683.061     2453679.409       3.652     0.00010000
      8   1      7   1    1 0    81.932358    81.932618   -0.000260   0.100E+09     2456270.299     2456278.087      -7.788     0.00010000
      8   2      7   2    0 1    81.861578    81.861558    0.000020   0.100E+07     2454148.368     2454147.777       0.591     0.00100000
      8   2      7   2    1 0    81.949363    81.949521   -0.000158   0.100E+09     2456780.097     2456784.827      -4.731     0.00010000
      8   3      7   3    0 1    81.887624    81.887764   -0.000140   0.100E+09     2454929.208     2454933.398      -4.190     0.00010000
      8   0      7  -3    0 0    99.777064    99.777035    0.000029   0.100E+09     2991241.127     2991240.264       0.863     0.00010000
      8  -3      7  -3    1 0    81.977889    81.977653    0.000236   0.100E+09     2457635.284     2457628.212       7.073     0.00010000
      8   3      7   3    1 0    81.977889    81.977904   -0.000015   0.100E+07     2457635.287     2457635.739      -0.452     0.00100000
      8  -3      7  -3    0 1    81.887624    81.887516    0.000108   0.100E+07     2454929.211     2454925.969       3.242     0.00100000
      8   4      7   4    1 0    82.017741    82.017522    0.000219   0.100E+09     2458830.017     2458823.463       6.555     0.00010000
      8   4      7   4    0 1    81.924025    81.924244   -0.000219   0.100E+09     2456020.482     2456027.057      -6.575     0.00010000
      8   5      7   5    1 0    82.069160    82.068940    0.000220   0.100E+09     2460371.520     2460364.910       6.610     0.00010000
      8   5      7   5    0 1    81.971440    81.971461   -0.000021   0.100E+09     2457441.948     2457442.574      -0.625     0.00010000
      8   6      7   6    1 0    82.132079    82.132278   -0.000199   0.100E+09     2462257.784     2462263.758      -5.974     0.00010000
      8   6      7   6    0 1    82.029171    82.029403   -0.000232   0.100E+09     2459172.680     2459179.628      -6.947     0.00010000
      8   7      7   7    1 0    82.207997    82.207853    0.000144   0.100E+09     2464533.749     2464529.444       4.305     0.00010000
      8   7      7   7    0 1    82.097921    82.098206   -0.000285   0.100E+09     2461233.753     2461242.287      -8.533     0.00010000
      9   0      8   0    1 0    92.042722    92.042753   -0.000031   0.100E+09     2759371.387     2759372.309      -0.922     0.00010000
      9   0      8   0    0 1    91.960794    91.961089   -0.000295   0.100E+09     2756915.247     2756924.089      -8.842     0.00010000
      9   1      8   1    0 1    91.966936    91.966930    0.000006   0.100E+09     2757099.380     2757099.213       0.167     0.00010000
      9   1      8   1    1 0    92.048947    92.048993   -0.000046   0.100E+09     2759558.008     2759559.395      -1.387     0.00010000
      9   2      8   2    0 1    91.984481    91.984470    0.000011   0.100E+09     2757625.366     2757625.046       0.320     0.00010000
      9   2      8   2    1 0    92.067796    92.067742    0.000054   0.100E+09     2760123.087     2760121.473       1.614     0.00010000
      9   3      8   3    0 1    92.013695    92.013980   -0.000285   0.100E+07     2758501.182     2758509.724      -8.542     0.00100000
      9  -3      8  -3    0 1    92.013695    92.013530    0.000165   0.100E+09     2758501.179     2758496.221       4.959     0.00010000
      9   3      8   3    1 0    92.099210    92.099311   -0.000101   0.100E+09     2761064.855     2761067.870      -3.015     0.00010000
      9  -3      8  -3    1 0    92.099210    92.098854    0.000356   0.100E+07     2761064.858     2761054.175      10.682     0.00100000
      9   4      8   4    1 0    92.143128    92.143153   -0.000025   0.100E+09     2762381.483     2762382.233      -0.750     0.00010000
      9   4      8   4    0 1    92.054902    92.054861    0.000041   0.100E+09     2759736.534     2759735.295       1.240     0.00010000
      9   5      8   5    1 0    92.200237    92.200154    0.000083   0.100E+09     2764093.568     2764091.085       2.483     0.00010000
      9   5      8   5    0 1    92.107969    92.107895    0.000074   0.100E+09     2761327.443     2761325.220       2.222     0.00010000
      9   6      8   6    0 1    92.173025    92.172994    0.000031   0.100E+09     2763277.773     2763276.845       0.928     0.00010000
      9   6      8   6    1 0    92.270414    92.270349    0.000065   0.100E+09     2766197.421     2766195.484       1.938     0.00010000
      9   7      8   7    0 1    92.250438    92.250323    0.000115   0.100E+09     2765598.556     2765595.118       3.438     0.00010000
      9   7      8   7    1 0    92.354040    92.354072   -0.000032   0.100E+09     2768704.466     2768705.432      -0.966     0.00010000
      9   8      8   8    0 1    92.340117    92.340075    0.000042   0.100E+09     2768287.065     2768285.794       1.270     0.00010000
      9   8      8   8    1 0    92.451670    92.451734   -0.000064   0.100E+09     2771631.340     2771633.270      -1.930     0.00010000
     10   0      9   0    0 1   102.041095   102.041063    0.000032   0.100E+09     3059115.069     3059114.122       0.947     0.00010000
     10   0      9   0    1 0   102.117887   102.117894   -0.000007   0.100E+09     3061417.235     3061417.442      -0.207     0.00010000
     10  -3      9   0    1 1    84.350948    84.350615    0.000333   0.100E+09     2528777.804     2528767.831       9.973    0.00010000
     10   1      9   1    0 1   102.047543   102.047527    0.000016   0.100E+09     3059308.375     3059307.887       0.488     0.00010000
     10   1      9   1    1 0   102.124681   102.124732   -0.000051   0.100E+09     3061620.914     3061622.435      -1.521     0.00010000
     10   2      9   2    0 1   102.066926   102.066934   -0.000008   0.100E+09     3059889.463     3059889.717      -0.254     0.00010000
     10   2      9   2    1 0   102.145128   102.145274   -0.000146   0.100E+09     3062233.900     3062238.282      -4.383     0.00010000
