J'  k'     J"  k"  s' s"   OBS/CM-1    CALC/CM-1  OBS-CALC/CM-1  WEIGHT      UNC/CM-1        OBS/MHZ        CALC/MHZ    OBS-CALC/MHZ
 3   1      1   1    s s    51.403420    51.403457   -0.000037   0.167E+06    0.00173205    1541035.763     1541036.861      -1.098   
 3   3      2   0    a s    12.859010    12.860168   -0.001158   0.167E+06    0.00173205     385503.422      385538.130     -34.709   
 3   3      2   0    a s    12.857570    12.860168   -0.002598   0.500E+06    0.00141421     385460.251      385538.130     -77.879   
 3   3      2   0    a s    12.862940    12.860168    0.002772   0.167E+06    0.00173205     385621.240      385538.130      83.110   
 3   3      2   0    a s    12.867780    12.860168    0.007612   0.222E+06   0.00173205      385766.340      385538.130     228.209   
 3   3      2   0    a s    12.864131    12.860168    0.003963   0.222E+06    0.00173205     385656.945      385538.130     118.815   
 4   0      2   0    a a    71.924560    71.924636   -0.000076   0.500E+06    0.00141421    2156244.063     2156246.354      -2.291   
 4   0      2   0    s s    71.926910    71.926962   -0.000052   0.333E+06    0.00141421    2156314.515     2156316.066      -1.551   
 4   0      2   0    s s    71.927433    71.926962    0.000471   0.619E+05    0.00401995    2156330.194     2156316.066      14.128   
 4  -3      2   0    a s    53.978030    53.975529    0.002501   0.125E+06    0.00200000    1618220.629     1618145.655      74.975   
 4   0      2   0    s s    71.925880    71.926962   -0.001082   0.250E+06    0.00141421    2156283.636     2156316.066     -32.430   
 4  -3      2   0    a s    53.968150    53.975529   -0.007379   0.125E+06   0.00200000     1617924.434     1618145.655    -221.220   
 4   0      2   0    s s    71.927090    71.926962    0.000128   0.333E+06    0.00141421    2156319.911     2156316.066       3.845   
 4   0      2   0    s s    71.927068    71.926962    0.000106   0.313E+07    0.00056569    2156319.251     2156316.066       3.186   
 4   0      2   0    a a    71.925481    71.924636    0.000845   0.313E+05    0.00565685    2156271.674     2156246.354      25.320   
 4   0      2   0    a a    71.924587    71.924636   -0.000049   0.313E+07    0.00056569    2156244.873     2156246.354      -1.481   
 4   0      2   0    a a    71.922790    71.924636   -0.001846   0.500E+06    0.00141421    2156191.000     2156246.354     -55.354   
 4   0      2   0    s s    71.934900    71.926962    0.007938   0.250E+06   0.00141421     2156554.049     2156316.066     237.983   
 4   0      2   0    s s    71.926296    71.926962   -0.000666   0.313E+07    0.00056569    2156296.107     2156316.066     -19.958   
 4   0      2   0    s s    71.926990    71.926962    0.000028   0.500E+06    0.00141421    2156316.913     2156316.066       0.847   
 2   1      2   1    a s     0.052315     0.052314    0.000000   0.225E+13    0.00000067       1568.357        1568.345       0.012   
 3   2      2   1    a s    24.884710    24.883509    0.001201   0.100E+06    0.00200000     746024.838      745988.828      36.010   
 3   1      2   1    s s    30.837590    30.837351    0.000239   0.333E+06    0.00141421     924487.690      924480.520       7.170   
 3   1      2   1    a a    30.837920    30.836335    0.001585   0.333E+06    0.00141421     924497.584      924450.072      47.511   
 3   1      2   1    a a    30.835700    30.836335   -0.000635   0.333E+06    0.00141421     924431.030      924450.072     -19.043   
 3   1      2   1    a a    30.836205    30.836335   -0.000130   0.208E+07    0.00056569     924446.169      924450.072      -3.903   
 3   1      2   1    a a    30.836644    30.836335    0.000309   0.208E+07    0.00056569     924459.330      924450.072       9.258   
 3   2      2   1    s a    24.778840    24.779133   -0.000293   0.167E+06    0.00173205     742850.935      742859.712      -8.777   
 3   1      2   1    a a    30.835880    30.836335   -0.000455   0.333E+06    0.00141421     924436.426      924450.072     -13.646   
